key,feature_group,dev,fid,tx,feature_names,feature_refs,candidate_source,source_read_count,source_write_count,source_change_count,seed_last_status,seed_last_raw_present,seed_last_raw_int,seed_last_error,raw_sample,float_sample
ac_1000_655360016_5,AC,1000,655360016,5,Ac.AC_REAR_RIGHT_SEAT_VENTILATING_STATUS,Ac.AC_REAR_RIGHT_SEAT_VENTILATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_655360020_5,AC,1000,655360020,5,Ac.AC_REAR_RIGHT_SEAT_HEATING_STATUS,Ac.AC_REAR_RIGHT_SEAT_HEATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_655360040_5,AC,1000,655360040,5,Ac.AC_REAR_LEFT_SEAT_VENTILATING_LEVEL,Ac.AC_REAR_LEFT_SEAT_VENTILATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_655360044_5,AC,1000,655360044,5,Ac.AC_REAR_LEFT_SEAT_HEATING_LEVEL,Ac.AC_REAR_LEFT_SEAT_HEATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_655360048_5,AC,1000,655360048,5,Ac.AC_REAR_RIGHT_SEAT_VENTILATING_LEVEL,Ac.AC_REAR_RIGHT_SEAT_VENTILATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_655360052_5,AC,1000,655360052,5,Ac.AC_REAR_RIGHT_SEAT_HEATING_LEVEL,Ac.AC_REAR_RIGHT_SEAT_HEATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_680526272_5,AC,1000,680526272,5,Ac.AC_MAIN_DRIVER_RIGHT_LOWER_TUYERE_LEFT_RIGHT_POSITION_SIGNAL,Ac.AC_MAIN_DRIVER_RIGHT_LOWER_TUYERE_LEFT_RIGHT_POSITION_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_680526288_5,AC,1000,680526288,5,Ac.AC_PASSENGER_LEFT_LOWER_TUYERE_LEFT_RIGHT_POSITION_SIGNAL,Ac.AC_PASSENGER_LEFT_LOWER_TUYERE_LEFT_RIGHT_POSITION_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_680526304_5,AC,1000,680526304,5,Ac.AC_MAIN_DRIVER_RIGHT_LOWER_TUYERE_SWITCH,Ac.AC_MAIN_DRIVER_RIGHT_LOWER_TUYERE_SWITCH,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_680526306_5,AC,1000,680526306,5,Ac.AC_PASSENGER_LEFT_LOWER_TUYERE_SWITCH,Ac.AC_PASSENGER_LEFT_LOWER_TUYERE_SWITCH,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_680526308_5,AC,1000,680526308,5,Ac.AC_MIDDLE_LEFT_SWITCH_BUTTON,Ac.AC_MIDDLE_LEFT_SWITCH_BUTTON,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_680526312_5,AC,1000,680526312,5,Ac.AC_FRONT_COMPENSATING_TUYERE_WORKING_MODE,Ac.AC_FRONT_COMPENSATING_TUYERE_WORKING_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_680526316_5,AC,1000,680526316,5,Ac.AC_EXTREME_COOL_STATUS,Ac.AC_EXTREME_COOL_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_680526318_5,AC,1000,680526318,5,Ac.AC_EXTREME_HEAT_STATUS,Ac.AC_EXTREME_HEAT_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_702545928_5,AC,1000,702545928,5,Ac.AC_MAIN_DRIVE_SEAT_VENTILATING_STATUS,Ac.AC_MAIN_DRIVE_SEAT_VENTILATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_702545932_5,AC,1000,702545932,5,Ac.AC_MAIN_DRIVE_SEAT_HEATING_STATUS,Ac.AC_MAIN_DRIVE_SEAT_HEATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_702545944_5,AC,1000,702545944,5,Ac.AC_MAIN_DRIVE_SEAT_VENTILATING_LEVEL,Ac.AC_MAIN_DRIVE_SEAT_VENTILATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_702545948_5,AC,1000,702545948,5,Ac.AC_MAIN_DRIVE_SEAT_HEATING_LEVEL,Ac.AC_MAIN_DRIVE_SEAT_HEATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_711983112_5,AC,1000,711983112,5,Ac.AC_PASSENGER_SEAT_VENTILATING_STATUS,Ac.AC_PASSENGER_SEAT_VENTILATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_711983116_5,AC,1000,711983116,5,Ac.AC_PASSENGER_SEAT_HEATING_STATUS,Ac.AC_PASSENGER_SEAT_HEATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_711983128_5,AC,1000,711983128,5,Ac.AC_PASSENGER_SEAT_VENTILATING_LEVEL,Ac.AC_PASSENGER_SEAT_VENTILATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_711983132_5,AC,1000,711983132,5,Ac.AC_PASSENGER_SEAT_HEATING_LEVEL,Ac.AC_PASSENGER_SEAT_HEATING_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132944_5,AC,1000,715132944,5,Ac.AC_RF_SEAT_VENTILATION_CONFIG,Ac.AC_RF_SEAT_VENTILATION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132947_5,AC,1000,715132947,5,Ac.AC_RF_SEAT_HEATING_CONFIG,Ac.AC_RF_SEAT_HEATING_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132952_5,AC,1000,715132952,5,Ac.AC_LF_SEAT_VENTILATION_CONFIG,Ac.AC_LF_SEAT_VENTILATION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132955_5,AC,1000,715132955,5,Ac.AC_LF_SEAT_HEATING_CONFIG,Ac.AC_LF_SEAT_HEATING_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132960_5,AC,1000,715132960,5,Ac.AC_LR_SEAT_VENTILATION_CONFIG,Ac.AC_LR_SEAT_VENTILATION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132963_5,AC,1000,715132963,5,Ac.AC_LR_SEAT_HEATING_CONFIG,Ac.AC_LR_SEAT_HEATING_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132968_5,AC,1000,715132968,5,Ac.AC_RR_SEAT_VENTILATION_CONFIG,Ac.AC_RR_SEAT_VENTILATION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_715132971_5,AC,1000,715132971,5,Ac.AC_RR_SEAT_HEATING_CONFIG,Ac.AC_RR_SEAT_HEATING_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_766509068_5,AC,1000,766509068,5,AC_PTC_STATE;Ac.AC_PTC_STATE,AC_PTC_STATE;Ac.AC_PTC_STATE,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_900726792_5,AC,1000,900726792,5,Ac.AC_AQS_CONFIG_FLAG,Ac.AC_AQS_CONFIG_FLAG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_900726795_5,AC,1000,900726795,5,Ac.AC_AQS_LEVEL_OUTSIDE_THE_CAR,Ac.AC_AQS_LEVEL_OUTSIDE_THE_CAR,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_900726802_5,AC,1000,900726802,5,Ac.AC_CO2_LEVEL_OUTSIDE_THE_CAR,Ac.AC_CO2_LEVEL_OUTSIDE_THE_CAR,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_900726805_5,AC,1000,900726805,5,Ac.AC_AIR_QUALITY_COMPREHENSIVE_LEVEL_OUTSIDE_THE_CAR,Ac.AC_AIR_QUALITY_COMPREHENSIVE_LEVEL_OUTSIDE_THE_CAR,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_900726808_5,AC,1000,900726808,5,Ac.AC_CO2_CONCENTRATION_OUTSIDE_THE_CAR,Ac.AC_CO2_CONCENTRATION_OUTSIDE_THE_CAR,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_915406894_5,AC,1000,915406894,5,Ac.AC_TEMPERATURE_ADJUST_ACCURACY,Ac.AC_TEMPERATURE_ADJUST_ACCURACY,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_961544204_5,AC,1000,961544204,5,Ac.AC_WADING_FLOATING_MODE_AC_PROMPT,Ac.AC_WADING_FLOATING_MODE_AC_PROMPT,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_961544207_5,AC,1000,961544207,5,Ac.AC_WADING_FLOATING_MODE_AC_FORBID_PROMPT_FLAG,Ac.AC_WADING_FLOATING_MODE_AC_FORBID_PROMPT_FLAG,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_995098645_5,AC,1000,995098645,5,Ac.AC_APPOINTMENT_OPEN_AC_STATUS,Ac.AC_APPOINTMENT_OPEN_AC_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_995098684_5,AC,1000,995098684,5,Ac.AC_REFRIGERANT_FILLING_STATUS,Ac.AC_REFRIGERANT_FILLING_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_995098686_5,AC,1000,995098686,5,Ac.AC_CIRCULATION_MODE_FLAG,Ac.AC_CIRCULATION_MODE_FLAG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1033895936_5,AC,1000,1033895936,5,AC_QUICK_CLEAN_AIR_3DA_ONLINE;Ac.AC_QUICK_CLEAN_AIR_3DA_ONLINE,AC_QUICK_CLEAN_AIR_3DA_ONLINE;Ac.AC_QUICK_CLEAN_AIR_3DA_ONLINE,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1033895946_5,AC,1000,1033895946,5,AC_QUICK_CLEAN_AIR_TIP;Ac.AC_QUICK_CLEAN_AIR_TIP,AC_QUICK_CLEAN_AIR_TIP;Ac.AC_QUICK_CLEAN_AIR_TIP,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1033895988_5,AC,1000,1033895988,5,AC_HIGH_TEMP_ANTIVIRUS_STATE;Ac.AC_HIGH_TEMP_ANTIVIRUS_STATE,AC_HIGH_TEMP_ANTIVIRUS_STATE;Ac.AC_HIGH_TEMP_ANTIVIRUS_STATE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1033895992_5,AC,1000,1033895992,5,AC_HIGH_TEMP_ANTIVIRUS_COUNT_DOWN;Ac.AC_HIGH_TEMP_ANTIVIRUS_COUNT_DOWN,AC_HIGH_TEMP_ANTIVIRUS_COUNT_DOWN;Ac.AC_HIGH_TEMP_ANTIVIRUS_COUNT_DOWN,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1034945004_5,AC,1000,1034945004,5,Ac.AC_SYNC_CONFIG_FLAG,Ac.AC_SYNC_CONFIG_FLAG,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1034945006_5,AC,1000,1034945006,5,Ac.AC_HEALTHY_COCKPIT_LOOP_MODE_AUTOSWITCH_FLAG,Ac.AC_HEALTHY_COCKPIT_LOOP_MODE_AUTOSWITCH_FLAG,live_reflection_device_map,279,1,0,0,1,3,,,
ac_1000_1034945008_5,AC,1000,1034945008,5,Ac.AC_AIR_CONDITION_OFF_INTERFACE_HIDE_AIR_MODE_LOGO,Ac.AC_AIR_CONDITION_OFF_INTERFACE_HIDE_AIR_MODE_LOGO,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1049624584_5,AC,1000,1049624584,5,Ac.AC_SECOND_ROW_LEFT_B_PILLAR_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,Ac.AC_SECOND_ROW_LEFT_B_PILLAR_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624592_5,AC,1000,1049624592,5,Ac.AC_SECOND_ROW_LEFT_B_PILLAR_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,Ac.AC_SECOND_ROW_LEFT_B_PILLAR_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624600_5,AC,1000,1049624600,5,Ac.AC_DEPUTY_INSTRUMENT_LEFT_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,Ac.AC_DEPUTY_INSTRUMENT_LEFT_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624608_5,AC,1000,1049624608,5,Ac.AC_DEPUTY_INSTRUMENT_LEFT_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,Ac.AC_DEPUTY_INSTRUMENT_LEFT_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624616_5,AC,1000,1049624616,5,Ac.AC_DEPUTY_INSTRUMENT_RIGHT_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,Ac.AC_DEPUTY_INSTRUMENT_RIGHT_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624624_5,AC,1000,1049624624,5,Ac.AC_DEPUTY_INSTRUMENT_RIGHT_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,Ac.AC_DEPUTY_INSTRUMENT_RIGHT_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624632_5,AC,1000,1049624632,5,Ac.AC_SECOND_ROW_RIGHT_B_PILLAR_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,Ac.AC_SECOND_ROW_RIGHT_B_PILLAR_TUYERE_UP_DOWN_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1049624640_5,AC,1000,1049624640,5,Ac.AC_SECOND_ROW_RIGHT_B_PILLAR_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,Ac.AC_SECOND_ROW_RIGHT_B_PILLAR_TUYERE_LEFT_RIGHT_ADJUSTMENT_SIGNAL,live_reflection_device_map,279,1,0,0,1,255,,,
ac_1000_1058013184_5,AC,1000,1058013184,5,AC_REAR_PANEL_3F1_ONLINE;Ac.AC_REAR_PANEL_3F1_ONLINE;Bodywork.ONLINE_HAS_0x03F100;ONLINE_HAS_0x03F100,AC_REAR_PANEL_3F1_ONLINE;Ac.AC_REAR_PANEL_3F1_ONLINE;Bodywork.ONLINE_HAS_0x03F100;ONLINE_HAS_0x03F100,live_reflection_device_map,279,1,0,0,1,2,,,
ac_1000_1058013193_5,AC,1000,1058013193,5,AC_REAR_PANEL_LOCK;Ac.AC_REAR_PANEL_LOCK,AC_REAR_PANEL_LOCK;Ac.AC_REAR_PANEL_LOCK,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1058013195_5,AC,1000,1058013195,5,AC_REAR_NOT_AVAILABLE_MENU;Ac.AC_REAR_NOT_AVAILABLE_MENU,AC_REAR_NOT_AVAILABLE_MENU;Ac.AC_REAR_NOT_AVAILABLE_MENU,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1058013200_5,AC,1000,1058013200,5,AC_REAR_PANEL_LOCK_HINT;Ac.AC_REAR_PANEL_LOCK_HINT,AC_REAR_PANEL_LOCK_HINT;Ac.AC_REAR_PANEL_LOCK_HINT,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110344_5,AC,1000,1060110344,5,Ac.AC_SYNCHRONOUS_KEY,Ac.AC_SYNCHRONOUS_KEY,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110346_5,AC,1000,1060110346,5,Ac.AC_PASSENGER_AUTOMATIC_AIR_CONDITION,Ac.AC_PASSENGER_AUTOMATIC_AIR_CONDITION,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110348_5,AC,1000,1060110348,5,Ac.AC_FRONT_PASSENGER_BLOWING_MODE,Ac.AC_FRONT_PASSENGER_BLOWING_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110352_5,AC,1000,1060110352,5,Ac.AC_PASSENGER_WINDLEVEL,Ac.AC_PASSENGER_WINDLEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110356_5,AC,1000,1060110356,5,Ac.AC_MIDDLE_POWER,Ac.AC_MIDDLE_POWER,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110358_5,AC,1000,1060110358,5,Ac.AC_MIDDLE_LEFT_AUTOMATIC_BUTTON,Ac.AC_MIDDLE_LEFT_AUTOMATIC_BUTTON,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110360_5,AC,1000,1060110360,5,Ac.AC_MIDDLE_RIGHT_AUTOMATIC_BUTTON,Ac.AC_MIDDLE_RIGHT_AUTOMATIC_BUTTON,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110362_5,AC,1000,1060110362,5,Ac.AC_MIDDLE_LEFT_WIND_MODE,Ac.AC_MIDDLE_LEFT_WIND_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110365_5,AC,1000,1060110365,5,Ac.AC_MIDDLE_RIGHT_WIND_MODE,Ac.AC_MIDDLE_RIGHT_WIND_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110368_5,AC,1000,1060110368,5,Ac.AC_MIDDLE_LEFT_WIND_LEVEL,Ac.AC_MIDDLE_LEFT_WIND_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110372_5,AC,1000,1060110372,5,Ac.AC_MIDDLE_RIGHT_WIND_LEVEL,Ac.AC_MIDDLE_RIGHT_WIND_LEVEL,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110376_5,AC,1000,1060110376,5,Ac.AC_MIDDLE_LEFT_TEMP,Ac.AC_MIDDLE_LEFT_TEMP,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110384_5,AC,1000,1060110384,5,Ac.AC_MIDDLE_RIGHT_TEMP,Ac.AC_MIDDLE_RIGHT_TEMP,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1060110396_5,AC,1000,1060110396,5,Ac.AC_MIDDLE_LEFT_WORK_MODE,Ac.AC_MIDDLE_LEFT_WORK_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110398_5,AC,1000,1060110398,5,Ac.AC_MIDDLE_RIGHT_WORK_MODE,Ac.AC_MIDDLE_RIGHT_WORK_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1060110400_5,AC,1000,1060110400,5,Ac.AC_REAR_WORK_MODE,Ac.AC_REAR_WORK_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1077936128_5,AC,1000,1077936128,5,AC_ONLINE_STATE;Ac.AC_ONLINE_STATE;Bodywork.ONLINE_HAS_0x040400;ONLINE_HAS_0x040400,AC_ONLINE_STATE;Ac.AC_ONLINE_STATE;Bodywork.ONLINE_HAS_0x040400;ONLINE_HAS_0x040400,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1077936150_5,AC,1000,1077936150,5,AC_DEFROST_FRONT_STATE;Ac.AC_DEFROST_FRONT_STATE,AC_DEFROST_FRONT_STATE;Ac.AC_DEFROST_FRONT_STATE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1077936160_5,AC,1000,1077936160,5,AC_PROMPT_BOX_SHOWN_STATE;Ac.AC_PROMPT_BOX_SHOWN_STATE,AC_PROMPT_BOX_SHOWN_STATE;Ac.AC_PROMPT_BOX_SHOWN_STATE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1077936162_5,AC,1000,1077936162,5,AC_KEY_ACTION_STATE;Ac.AC_KEY_ACTION_STATE,AC_KEY_ACTION_STATE;Ac.AC_KEY_ACTION_STATE,live_reflection_device_map,279,1,0,0,1,3,,,
ac_1000_1077936167_5,AC,1000,1077936167,5,AC_TEMPERATURE_UNIT;Ac.AC_TEMPERATURE_UNIT,AC_TEMPERATURE_UNIT;Ac.AC_TEMPERATURE_UNIT,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1077936192_5,AC,1000,1077936192,5,AC_FAULT_NUM_SHOWN_STATE;Ac.AC_FAULT_NUM_SHOWN_STATE,AC_FAULT_NUM_SHOWN_STATE;Ac.AC_FAULT_NUM_SHOWN_STATE,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1082130440_5,AC,1000,1082130440,5,AC_REAR_PANEL_408_ONLINE;Ac.AC_REAR_PANEL_408_ONLINE,AC_REAR_PANEL_408_ONLINE;Ac.AC_REAR_PANEL_408_ONLINE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1086328880_5,AC,1000,1086328880,5,Ac.AC_TEMP_40C,Ac.AC_TEMP_40C,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1120927758_5,AC,1000,1120927758,5,Ac.AC_HEATING_BUTTON_STATUS,Ac.AC_HEATING_BUTTON_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_1127219208_5,AC,1000,1127219208,5,Ac.AC_REAR_OUTLET_LEVEL_REGULATION_CONFIG,Ac.AC_REAR_OUTLET_LEVEL_REGULATION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1127219210_5,AC,1000,1127219210,5,Ac.AC_REAR_OUTLET_TEMP_REGULATION_CONFIG,Ac.AC_REAR_OUTLET_TEMP_REGULATION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1127219214_5,AC,1000,1127219214,5,Ac.AC_REAR_MANUAL_AUTO_ADJUSTMENT_CONFIG,Ac.AC_REAR_MANUAL_AUTO_ADJUSTMENT_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1127219216_5,AC,1000,1127219216,5,Ac.AC_REAR_OUTLET_MODE_ADJUSTMENT_CONFIG,Ac.AC_REAR_OUTLET_MODE_ADJUSTMENT_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1127219218_5,AC,1000,1127219218,5,Ac.AC_REAR_KEY_LOCK_FUNCTION,Ac.AC_REAR_KEY_LOCK_FUNCTION,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1127219220_5,AC,1000,1127219220,5,AC_REAR_MAX_WIND_LEVEL;Ac.AC_REAR_MAX_WIND_LEVEL,AC_REAR_MAX_WIND_LEVEL;Ac.AC_REAR_MAX_WIND_LEVEL,live_reflection_device_map,279,1,0,0,1,2,,,
ac_1000_1127219224_5,AC,1000,1127219224,5,Ac.AC_REAR_SWITCH_BUTTON_FUNCTION,Ac.AC_REAR_SWITCH_BUTTON_FUNCTION,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_1127219228_5,AC,1000,1127219228,5,AC_TYPE;Ac.AC_TYPE,AC_TYPE;Ac.AC_TYPE,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1127219230_5,AC,1000,1127219230,5,AC_WIND_MODE_NUM;Ac.AC_WIND_MODE_NUM,AC_WIND_MODE_NUM;Ac.AC_WIND_MODE_NUM,live_reflection_device_map,279,1,0,0,1,2,,,
ac_1000_1127219232_5,AC,1000,1127219232,5,AC_WARM_TYPE_FLAG;Ac.AC_WARM_TYPE_FLAG,AC_WARM_TYPE_FLAG;Ac.AC_WARM_TYPE_FLAG,live_reflection_device_map,279,1,0,0,1,6,,,
ac_1000_1127219235_5,AC,1000,1127219235,5,Ac.AC_HIGH_TEMP_STERILIZATION_MODE_FLAG,Ac.AC_HIGH_TEMP_STERILIZATION_MODE_FLAG,live_reflection_device_map,279,1,0,0,1,2,,,
ac_1000_1127219240_5,AC,1000,1127219240,5,AC_AUTOMATIC_BUTTON_TURNED_OFF;Ac.AC_AUTOMATIC_BUTTON_TURNED_OFF,AC_AUTOMATIC_BUTTON_TURNED_OFF;Ac.AC_AUTOMATIC_BUTTON_TURNED_OFF,live_reflection_device_map,279,1,0,0,1,1,,,
ac_1000_1127219242_5,AC,1000,1127219242,5,Ac.AC_FOURZONE_AIR_CONDITION_CONFIG,Ac.AC_FOURZONE_AIR_CONDITION_CONFIG,live_reflection_device_map,279,1,0,0,1,0,,,
